,Map,Team1,Team1Pts,Team2,Team2Pts,Team1LastWin,Team2LastWin,Team1RanksHigher,Team2RanksHigher,Team1WonLast,Result
307,dust2,AliGon,21,Arcade,19,0,0,0,0,0,1
308,dust2,PENTA,8,mousesports,16,0,1,0,1,0,2
309,cobblestone,EnVyUs,9,NiP,16,1,0,0,1,0,2
310,dust2,MaxAndRelax,2,Arcade,16,0,0,0,0,0,2
311,train,dignitas,4,NiP,16,1,1,1,0,0,2
312,overpass,TSM,16,SK,11,0,0,1,0,0,1
313,overpass,Lions,14,DenDD,16,0,0,0,0,0,2
314,cache,DenDD,16,Lions,11,1,0,0,0,1,1
315,overpass,GreyFace,16,mousesports,10,0,1,0,1,0,1
316,cache,GreyFace,16,mousesports,11,1,0,0,1,1,1
317,cache,TSM,16,HellRaisers,14,1,0,1,0,0,1
318,inferno,HellRaisers,11,TSM,16,0,1,0,1,0,2
319,cache,AliGon,16,Arcade,6,1,1,0,0,1,1
320,dust2,AliGon,16,Arcade,14,1,0,0,0,1,1
321,mirage,AliGon,18,Arcade,21,1,0,0,0,1,2
322,train,Orgless,16,Virtus.pro,9,1,1,0,1,0,1
323,cobblestone,Orgless,16,Virtus.pro,13,1,0,0,1,1,1
324,cache,MaxAndRelax,16,Reason,10,0,0,0,0,0,1
325,inferno,Secret,16,nxl,3,1,1,0,0,1,1
326,train,Insidious,16,Puzzle,7,0,0,0,0,0,1
327,cache,Enemy,12,Games Academy,16,1,0,0,0,0,2
328,inferno,Enemy,9,Games Academy,16,0,1,0,0,0,2
329,mirage,Reason,5,AliGon,16,0,0,0,0,0,2
330,cache,AliGon,8,Reason,16,1,0,0,0,1,2
331,train,AliGon,16,Reason,1,0,1,0,0,0,1
332,dust2,MaxAndRelax,21,Arcade,26,1,1,0,0,0,2
333,mirage,Arcade,21,MaxAndRelax,18,1,0,0,0,1,1
334,mirage,PiTER,16,stfuNerd,7,0,0,0,0,0,1
335,cobblestone,stfuNerd,4,PiTER,16,0,1,0,0,0,2
336,cobblestone,Natus Vincere,5,EnVyUs,16,0,0,1,0,0,2
337,train,EnVyUs,16,Natus Vincere,14,1,0,0,1,1,1
338,overpass,Refuse,5,Vega Squadron,16,1,1,0,0,0,2
339,cache,Refuse,13,Vega Squadron,16,0,1,0,0,0,2
340,mirage,Refuse,16,Vega Squadron,8,0,1,0,0,0,1
341,dust2,Natus Vincere,16,NiP,6,0,1,0,1,0,1
342,train,NiP,3,Natus Vincere,16,0,1,1,0,0,2
343,inferno,Publiclir.se,6,MIXCAT,16,1,0,0,0,0,2
344,cobblestone,MIXCAT,11,Publiclir.se,16,1,0,0,0,1,2
345,mirage,Publiclir.se,13,MIXCAT,16,1,0,0,0,1,2
346,cache,Publiclir.se,8,MIXCAT,16,0,1,0,0,0,2
347,cache,EnVyUs,16,G2,7,1,1,0,1,0,1
348,inferno,G2,21,EnVyUs,25,0,1,1,0,0,2
349,dust2,EnVyUs,10,G2,16,1,0,0,1,1,2
350,cache,volgare,8,uX,16,0,1,0,0,0,2
351,inferno,volgare,14,uX,16,0,1,0,0,0,2
352,overpass,Luminosity,13,Natus Vincere,16,0,1,1,0,0,2
353,dust2,Natus Vincere,16,Luminosity,14,1,0,0,1,1,1
354,cache,Enervate.A,5,ESC,16,0,0,0,0,0,2
355,dust2,Enervate.A,13,ESC,16,0,1,0,0,0,2
356,dust2,TSM,8,NiP,16,1,0,0,1,0,2
357,train,NiP,16,TSM,10,1,0,1,0,1,1
358,mirage,MIXCAT,16,Torpedo,11,1,0,0,0,0,1
359,cache,Torpedo,10,MIXCAT,16,0,1,0,0,0,2
360,train,G2,19,Virtus.pro,17,1,0,1,0,1,1
361,cache,Virtus.pro,10,G2,16,0,1,0,1,0,2
362,mirage,Publiclir.se,16,RCTIC,13,0,0,0,0,0,1
363,cobblestone,Publiclir.se,16,RCTIC,9,1,0,0,0,1,1
364,cache,fnatic,2,EnVyUs,16,0,0,1,0,0,2
365,cobblestone,EnVyUs,16,fnatic,9,1,0,0,1,1,1
366,mirage,EnVyUs,9,fnatic,16,1,0,0,1,1,2
367,mirage,BX3,8,MIXCAT,16,0,1,0,0,0,2
368,dust2,BX3,3,MIXCAT,16,0,1,0,0,0,2
369,train,m0nster,16,MiTH,8,0,0,0,0,0,1
370,cache,m0nster,16,Expendables,5,1,0,0,0,0,1
371,dust2,KoN Sweden,8,KoN Finland,16,0,0,0,0,0,2
372,inferno,KoN Sweden,16,KoN Denmark,11,0,1,0,0,0,1
373,inferno,Natus Vincere,16,CLG,8,1,1,0,1,0,1
374,cobblestone,CLG,16,Natus Vincere,10,0,1,1,0,0,1
375,train,Natus Vincere,16,CLG,9,0,1,0,1,0,1
376,mirage,MaxAndRelax,16,European Misfits,3,0,0,0,0,0,1
377,cache,European Misfits,16,MaxAndRelax,12,0,1,0,0,0,1
378,dust2,European Misfits,11,MaxAndRelax,16,1,0,0,0,1,2
379,inferno,KoN Norway,10,KoN Sweden,16,0,1,0,0,0,2
380,dust2,NiP,16,Titan,1,1,0,0,1,0,1
381,cache,Titan,14,NiP,16,0,1,1,0,0,2
382,mirage,PiTER,3,ttc,16,1,0,0,0,0,2
383,cache,PiTER,14,ttc,16,0,1,0,0,0,2
384,cobblestone,ajuri,3,Torpedo,16,0,0,0,0,0,2
385,cache,ajuri,8,Torpedo,16,0,1,0,0,0,2
386,dust2,ESC,10,Enervate,16,1,0,0,0,0,2
387,cache,Enervate,16,ESC,4,1,0,0,0,1,1
388,mirage,Enervate,8,ESC,16,1,0,0,0,1,2
389,overpass,Publiclir.se,16,HS.GG,12,1,0,0,0,0,1
390,cobblestone,HS.GG,16,Publiclir.se,7,0,1,0,0,0,1
391,mirage,Publiclir.se,16,HS.GG,6,0,1,0,0,0,1
392,cache,G2,16,mousesports,5,1,0,0,1,0,1
393,inferno,mousesports,16,G2,12,0,1,1,0,0,1
394,mirage,G2,19,mousesports,16,0,1,0,1,0,1
395,mirage,SkitLite,12,RCTIC,16,0,0,0,0,0,2
396,train,RCTIC,16,SkitLite,7,1,0,0,0,1,1
397,overpass,Cloud9,12,fnatic,16,0,1,1,0,0,2
398,dust2,Cloud9,6,fnatic,16,0,1,1,0,0,2
399,cobblestone,compLexity,13,Conquest,16,1,1,0,1,0,2
400,inferno,compLexity,13,Conquest,16,0,1,0,1,0,2
401,mirage,Natus Vincere,9,EnVyUs,16,1,0,1,0,0,2
402,train,Virtus.pro,16,Titan,7,0,0,0,1,1,1
403,cache,Arcade,14,ESC,16,1,1,0,0,0,2
404,mirage,Arcade,16,ESC,9,0,1,0,0,0,1
405,mirage,SK,16,KILLERFISH,4,0,0,0,0,0,1
